provider,model,survey,N,created_at,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
anthropic,claude-3-5-sonnet-20241022,ccps,34,2025-04-04T16:01:59Z,1,7,2,10,4,1,7,10,10,1,2,8,3,3,11,9,5,9,11,8,2,3,6,2,10,9,6,2,7,9,2,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,1,5,4,2,3,NA,NA,NA
anthropic,claude-3-5-sonnet-20241022,ds_aargau,31,2025-04-04T16:02:01Z,1,7,7,7,2,3,4,1,1,4,3,2,1,7,6,2,7,7,7,2,2,6,6,6,7,1,7,7,1,1,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,5,1,4,3,2,NA,NA,NA
anthropic,claude-3-5-sonnet-20241022,ds_bellinzona,31,2025-04-04T16:02:03Z,1,7,7,2,3,4,1,1,4,3,2,1,7,6,2,7,7,7,5,1,6,6,7,7,2,7,2,6,1,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,5,1,4,3,2,NA,NA,NA
anthropic,claude-3-5-sonnet-20241022,energy_futures,30,2025-04-04T16:02:06Z,4,8,9,7,10,6,8,3,8,6,8,4,2,9,10,3,8,4,8,6,5,6,8,10,7,9,7,2,6,4,1,9,8,8,3,9,3,6,2,7,6,6,4,7,9,NA,NA,NA,NA,NA,2,6,7,3,8,4,1,5,9,NA
anthropic,claude-3-5-sonnet-20241022,fnqcj,36,2025-04-04T16:02:09Z,3,6,6,7,7,8,9,8,4,10,2,9,6,2,5,8,8,6,9,8,4,7,3,11,2,2,3,2,2,4,10,4,10,6,5,3,7,5,6,11,2,5,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,3,2,NA,NA,NA,NA,NA
anthropic,claude-3-5-sonnet-20241022,forestera,35,2025-04-04T16:02:13Z,5,7,7,8,9,6,9,6,4,9,9,7,4,10,5,7,4,9,9,2,8,5,11,9,3,8,7,6,7,11,10,9,9,8,8,9,10,10,8,6,6,8,8,2,6,NA,NA,NA,NA,NA,5,6,2,7,4,3,1,NA,NA,NA
anthropic,claude-3-5-sonnet-20241022,fremantle,31,2025-04-04T16:02:16Z,4,3,2,11,7,7,2,4,1,7,2,5,5,5,6,9,10,6,3,4,6,4,8,7,8,9,9,8,10,11,8,3,7,8,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,3,5,2,1,NA,NA,NA,NA
anthropic,claude-3-5-sonnet-20241022,gbr,30,2025-04-04T16:02:18Z,7,2,6,7,1,1,3,6,2,7,6,2,1,1,7,7,6,5,6,2,7,7,7,2,4,6,1,2,2,7,7,6,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,3,5,7,6,NA,NA,NA
anthropic,claude-3-5-sonnet-20241022,swiss_health,31,2025-04-04T16:02:19Z,4,7,4,3,6,4,2,5,5,3,4,6,1,6,6,6,7,5,6,3,5,4,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,5,3,1,4,NA,NA,NA,NA
anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,36,2025-04-04T16:02:22Z,6,6,4,5,6,4,3,6,4,5,4,4,2,6,6,5,4,6,3,4,5,2,3,3,4,2,3,4,4,5,2,6,5,7,3,2,3,4,4,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,7,5,3,6,1,4,2,NA,NA,NA
anthropic,claude-3-5-sonnet-20241022,valsamoggia,31,2025-04-04T16:02:25Z,6,10,3,8,5,2,6,9,3,1,8,4,4,7,5,11,7,10,2,10,7,9,9,2,6,3,3,4,3,3,8,5,3,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,2,NA,NA,NA,NA,NA,NA
anthropic,claude-3-5-sonnet-20241022,zh_thalwil,31,2025-04-04T16:02:27Z,1,7,2,3,4,1,1,4,3,2,1,7,6,2,7,7,7,1,1,6,6,6,7,1,7,7,1,1,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,5,1,4,2,3,NA,NA,NA
anthropic,claude-3-5-sonnet-20241022,zh_uster,31,2025-04-04T16:02:29Z,1,7,1,3,4,1,1,5,4,1,1,7,6,2,7,7,7,2,1,5,6,7,6,2,7,7,1,1,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,5,1,4,3,2,NA,NA,NA
anthropic,claude-3-5-sonnet-20241022,zh_winterthur,31,2025-04-04T16:02:31Z,1,7,7,2,7,7,7,2,4,5,1,6,5,5,4,6,4,6,5,5,3,3,5,7,4,7,6,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,3,4,2,1,NA,NA,NA,NA
anthropic,claude-3-5-sonnet-20241022,zukunft,31,2025-04-04T16:02:32Z,7,7,1,1,1,5,4,2,1,7,2,7,7,7,2,7,7,7,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,1,5,3,4,2,NA,NA,NA
anthropic,claude-3-7-sonnet-20250219,acp,42,2025-04-04T16:02:36Z,7,7,8,8,7,8,6,9,7,8,7,5,3,9,8,9,3,6,6,8,6,5,3,9,7,6,7,6,6,7,9,5,6,9,7,7,9,8,7,5,6,7,10,10,7,10,9,5,NA,NA,4,1,5,3,2,NA,NA,NA,NA,NA
anthropic,claude-3-7-sonnet-20250219,auscj,32,2025-04-04T16:02:39Z,4,5,2,4,5,2,6,2,5,5,7,6,4,6,3,5,6,6,2,6,3,5,4,3,5,6,6,6,5,3,5,4,4,4,2,6,6,4,6,4,4,3,3,3,6,NA,NA,NA,NA,NA,6,5,4,2,7,1,8,3,NA,NA
anthropic,claude-3-7-sonnet-20250219,bep,32,2025-04-04T16:02:42Z,1,2,7,6,1,3,4,1,1,1,5,2,1,6,3,7,2,2,3,6,4,3,7,3,7,4,3,3,3,6,5,2,6,2,7,2,6,1,1,7,1,7,6,NA,NA,NA,NA,NA,NA,NA,6,7,2,4,1,5,3,NA,NA,NA
anthropic,claude-3-7-sonnet-20250219,biobanking_mayo_ubc,32,2025-04-04T16:02:44Z,8,7,5,7,11,5,4,7,5,6,7,9,7,1,1,8,4,2,3,6,9,6,9,7,4,10,7,7,10,8,3,3,10,5,6,2,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,6,3,5,4,7,NA,NA,NA
anthropic,claude-3-7-sonnet-20250219,biobanking_wa,32,2025-04-04T16:02:48Z,7,7,4,8,11,5,5,7,6,6,7,9,8,1,1,8,4,2,3,8,9,6,10,7,5,10,7,6,10,7,4,9,8,6,7,3,7,8,10,1,5,8,9,3,6,7,11,7,6,NA,2,4,6,3,7,5,1,NA,NA,NA
anthropic,claude-3-7-sonnet-20250219,ccps,42,2025-04-04T16:02:50Z,1,6,2,10,5,2,6,10,10,1,2,8,3,5,10,8,6,9,11,7,2,3,6,3,10,9,6,2,7,9,2,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,1,4,5,2,3,NA,NA,NA
anthropic,claude-3-7-sonnet-20250219,ds_aargau,32,2025-04-04T16:02:52Z,1,7,7,7,2,3,4,1,1,4,3,2,1,6,6,2,7,7,7,1,2,6,6,6,7,1,6,7,1,1,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,5,1,4,2,3,NA,NA,NA
anthropic,claude-3-7-sonnet-20250219,ds_bellinzona,32,2025-04-04T16:02:55Z,1,7,7,2,3,4,1,1,4,3,2,1,7,6,2,7,7,7,6,1,6,6,6,7,2,7,2,5,1,6,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,5,1,4,3,2,NA,NA,NA
anthropic,claude-3-7-sonnet-20250219,energy_futures,30,2025-04-04T16:02:58Z,4,7,8,6,10,5,8,4,8,6,8,3,2,9,10,3,7,4,8,6,5,7,8,9,6,9,7,2,6,3,1,9,7,7,3,8,4,7,3,7,5,5,5,7,9,NA,NA,NA,NA,NA,2,5,8,3,6,4,1,7,9,NA
anthropic,claude-3-7-sonnet-20250219,fnqcj,42,2025-04-04T16:03:01Z,3,6,7,6,8,8,8,7,3,9,2,9,6,1,6,8,8,6,8,8,4,7,2,11,1,2,3,2,2,5,9,3,9,6,5,3,8,5,7,10,1,4,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,3,2,NA,NA,NA,NA,NA
anthropic,claude-3-7-sonnet-20250219,forestera,40,2025-04-04T16:03:04Z,4,7,7,7,9,6,9,6,4,9,8,6,4,9,5,6,5,9,9,2,7,5,10,9,3,8,7,6,6,10,9,8,9,7,8,9,10,10,8,6,6,8,7,2,6,NA,NA,NA,NA,NA,5,6,2,7,4,3,1,NA,NA,NA
anthropic,claude-3-7-sonnet-20250219,fremantle,32,2025-04-04T16:03:06Z,5,2,3,11,6,6,2,4,1,6,2,6,5,5,10,9,10,5,3,5,5,5,7,4,9,9,7,8,10,10,9,3,9,8,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,6,1,3,NA,NA,NA,NA
anthropic,claude-3-7-sonnet-20250219,gbr,31,2025-04-04T16:03:09Z,7,3,6,7,1,1,3,5,2,7,6,1,1,1,6,6,5,5,5,2,6,7,7,2,4,5,1,2,2,7,7,6,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,3,6,7,5,NA,NA,NA
anthropic,claude-3-7-sonnet-20250219,swiss_health,32,2025-04-04T16:03:10Z,4,7,4,3,5,4,3,5,4,3,4,6,1,6,6,6,6,5,5,3,5,4,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,5,3,1,4,NA,NA,NA,NA
anthropic,claude-3-7-sonnet-20250219,uppsala_speaks,42,2025-04-04T16:03:14Z,6,6,3,4,5,3,3,5,4,3,4,4,2,6,5,5,3,6,3,4,4,3,4,2,3,2,3,4,4,5,2,5,5,6,3,2,3,4,4,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,7,5,3,6,1,4,2,NA,NA,NA
anthropic,claude-3-7-sonnet-20250219,valsamoggia,32,2025-04-04T16:03:17Z,6,10,2,8,5,3,5,9,2,1,9,3,5,7,5,7,8,11,2,10,8,9,10,2,6,4,4,4,6,1,8,6,3,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,3,NA,NA,NA,NA,NA,NA
anthropic,claude-3-7-sonnet-20250219,zh_thalwil,32,2025-04-04T16:03:19Z,1,7,2,3,4,1,1,4,3,2,1,6,6,3,7,7,7,2,1,6,6,6,6,2,6,7,1,1,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,5,1,4,2,3,NA,NA,NA
anthropic,claude-3-7-sonnet-20250219,zh_uster,32,2025-04-04T16:03:21Z,1,7,1,3,4,1,1,5,5,2,1,6,6,2,7,7,7,2,1,5,6,6,6,2,7,7,2,1,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,5,1,4,3,2,NA,NA,NA
anthropic,claude-3-7-sonnet-20250219,zh_winterthur,32,2025-04-04T16:03:23Z,1,7,7,1,7,7,7,2,4,5,2,6,4,5,3,6,4,6,5,5,4,3,4,7,4,7,6,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,3,4,1,2,NA,NA,NA,NA
anthropic,claude-3-7-sonnet-20250219,zukunft,32,2025-04-04T16:03:25Z,7,7,1,1,1,5,5,2,1,7,2,7,7,7,2,6,6,7,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,1,5,3,4,2,NA,NA,NA
anthropic,claude-3-haiku-20240307,acp,34,2025-04-04T16:03:28Z,6,8,8,7,7,7,4,8,7,8,6,6,3,7,9,8,2,6,6,7,7,7,6,8,9,6,8,6,7,8,10,6,7,8,7,7,8,8,7,6,6,8,9,9,6,9,8,5,NA,NA,3,1,4,2,5,NA,NA,NA,NA,NA
anthropic,claude-3-haiku-20240307,auscj,33,2025-04-04T16:03:32Z,5,4,3,2,5,3,2,2,5,5,6,5,5,5,4,2,6,5,4,5,4,4,4,3,5,6,6,4,4,4,6,3,6,4,3,5,6,4,5,3,4,2,3,4,5,NA,NA,NA,NA,NA,4,6,3,2,8,1,5,7,NA,NA
anthropic,claude-3-haiku-20240307,bep,31,2025-04-04T16:03:37Z,2,2,6,5,2,2,3,2,2,2,5,2,2,5,3,6,3,2,3,6,4,3,6,4,6,3,3,4,3,6,6,2,6,2,6,3,6,2,2,6,2,6,6,NA,NA,NA,NA,NA,NA,NA,6,7,1,5,2,4,3,NA,NA,NA
anthropic,claude-3-haiku-20240307,biobanking_mayo_ubc,34,2025-04-04T16:03:41Z,7,7,5,6,10,7,3,8,7,8,8,9,6,2,2,7,6,3,6,5,7,7,9,7,5,9,6,6,10,8,3,3,9,6,5,2,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,6,5,7,3,2,NA,NA,NA
anthropic,claude-3-haiku-20240307,biobanking_wa,34,2025-04-04T16:03:44Z,7,7,4,8,10,7,3,8,7,7,8,9,7,2,3,7,6,3,6,5,7,9,9,7,7,10,6,6,9,8,5,7,8,6,6,4,7,7,9,2,6,8,7,3,6,6,9,8,5,NA,4,3,7,2,5,6,1,NA,NA,NA
anthropic,claude-3-haiku-20240307,ccps,34,2025-04-04T16:03:46Z,2,6,2,10,5,2,3,10,10,1,2,4,3,3,10,9,6,10,10,7,3,3,6,3,10,10,6,2,8,10,2,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,1,5,2,4,3,NA,NA,NA
anthropic,claude-3-haiku-20240307,ds_aargau,32,2025-04-04T16:03:49Z,2,7,7,7,2,3,3,1,2,4,4,2,1,6,6,3,6,7,6,2,2,5,6,6,6,2,6,6,2,2,6,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,5,1,3,4,2,NA,NA,NA
anthropic,claude-3-haiku-20240307,ds_bellinzona,34,2025-04-04T16:03:51Z,1,7,6,2,3,3,2,2,4,4,2,1,6,6,3,6,6,6,4,2,5,6,6,6,2,6,3,5,2,6,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,4,1,3,5,2,NA,NA,NA
anthropic,claude-3-haiku-20240307,energy_futures,34,2025-04-04T16:03:54Z,4,5,8,4,9,6,8,6,6,7,7,3,2,7,9,3,7,4,8,5,6,7,8,9,6,8,7,3,7,4,2,8,7,6,4,8,6,7,4,7,5,6,7,7,9,NA,NA,NA,NA,NA,3,8,4,9,7,5,1,2,6,NA
anthropic,claude-3-haiku-20240307,fnqcj,34,2025-04-04T16:03:58Z,2,7,7,7,6,9,8,5,4,11,2,8,7,2,7,8,7,7,10,10,7,6,3,11,2,2,4,4,2,6,10,4,11,6,7,7,8,6,6,10,3,6,NA,NA,NA,NA,NA,NA,NA,NA,4,5,1,2,3,NA,NA,NA,NA,NA
anthropic,claude-3-haiku-20240307,forestera,33,2025-04-04T16:04:01Z,3,5,9,8,8,7,8,4,5,9,7,6,4,8,6,7,5,8,9,3,7,5,8,8,4,8,7,6,7,9,9,7,8,9,8,8,8,8,7,7,6,7,7,3,7,NA,NA,NA,NA,NA,2,6,3,5,7,4,1,NA,NA,NA
anthropic,claude-3-haiku-20240307,fremantle,34,2025-04-04T16:04:03Z,6,4,5,8,7,6,3,6,3,6,4,7,7,7,8,9,10,7,5,6,7,5,8,7,8,9,8,8,9,10,8,4,8,7,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,6,3,5,NA,NA,NA,NA
anthropic,claude-3-haiku-20240307,gbr,32,2025-04-04T16:04:06Z,6,4,6,6,2,2,4,5,2,6,6,2,2,2,6,6,6,4,6,3,6,6,6,2,4,6,2,3,2,6,6,6,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,1,2,4,7,6,NA,NA,NA
anthropic,claude-3-haiku-20240307,swiss_health,34,2025-04-04T16:04:08Z,5,6,5,4,6,5,3,5,5,3,5,6,2,6,6,5,6,4,5,3,4,4,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,6,3,2,4,NA,NA,NA,NA
anthropic,claude-3-haiku-20240307,uppsala_speaks,34,2025-04-04T16:04:11Z,6,6,3,5,5,3,4,6,4,3,4,4,2,5,5,3,4,4,3,4,4,2,2,4,4,2,4,4,4,5,2,5,4,5,2,2,3,4,3,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,7,2,5,6,NA,NA,NA
